user_id,car_km_per_week,flight_hours_per_year,public_transport_km_per_week,electricity_kwh_per_month,gas_liters_per_month,heating_type,diet_type,meat_servings_per_week,clothing_spend_per_year,electronics_spend_per_year,total_co2_kg_per_year
1,150,20,50,400,80,gas,mixed,10,800,300,8500
2,50,5,100,250,40,electric,vegetarian,3,400,150,4200
3,200,40,20,500,100,gas,mixed,14,1200,500,12000
4,0,2,80,180,20,electric,vegan,0,300,100,2800
5,100,15,60,350,60,gas,mixed,8,600,250,6800
6,80,8,40,300,50,oil,vegetarian,2,500,200,5200
7,250,60,10,600,120,gas,mixed,12,1000,400,15000
8,30,3,120,200,30,electric,vegetarian,4,350,120,3500
9,180,25,30,450,90,gas,mixed,9,700,350,9200
10,0,1,150,150,15,electric,vegan,0,250,80,2200
11,120,12,70,320,55,gas,mixed,7,550,220,6200
12,60,6,90,280,35,electric,vegetarian,3,420,180,4500
13,300,80,5,700,140,oil,mixed,15,1500,600,18000
14,20,2,100,180,25,electric,vegan,1,280,90,2600
15,160,18,40,380,75,gas,mixed,11,750,320,7800
16,90,10,60,310,45,electric,vegetarian,4,480,160,5000
17,220,35,15,520,110,gas,mixed,13,900,450,11500
18,40,4,110,220,30,electric,vegetarian,2,380,140,3800
19,180,22,35,420,85,gas,mixed,9,680,300,8200
20,10,1,130,160,20,electric,vegan,0,270,70,2400
21,140,16,55,360,70,gas,mixed,8,620,260,7000
22,70,7,85,290,40,electric,vegetarian,3,450,170,4800
23,260,50,8,580,125,oil,mixed,14,1100,480,14000
24,25,3,105,200,28,electric,vegan,1,320,110,3000
25,110,14,65,340,65,gas,mixed,7,580,240,6500
26,85,9,75,305,42,electric,vegetarian,4,470,155,4900
27,190,30,25,480,95,gas,mixed,10,780,380,9800
28,35,4,115,210,32,electric,vegetarian,2,360,130,3600
29,170,20,45,400,80,gas,mixed,9,660,290,7600
30,15,2,125,170,22,electric,vegan,0,290,85,2500
31,130,15,60,350,68,gas,mixed,8,600,250,6800
32,75,8,80,295,38,electric,vegetarian,3,440,165,4700
33,240,45,12,550,115,gas,mixed,13,950,420,13000
34,30,3,110,190,26,electric,vegan,1,310,95,2900
35,150,17,50,370,72,gas,mixed,9,640,270,7200
36,80,9,70,300,44,electric,vegetarian,4,460,175,4850
37,210,32,20,500,105,oil,mixed,12,850,400,11000
38,45,5,95,240,34,electric,vegetarian,2,390,145,4000
39,160,19,40,390,78,gas,mixed,10,700,310,7900
40,20,2,120,175,24,electric,vegan,0,280,75,2650
41,125,13,65,330,62,gas,mixed,7,570,230,6300
42,65,6,90,285,36,electric,vegetarian,3,430,160,4400
43,230,42,10,530,118,gas,mixed,14,980,460,12500
44,28,3,108,195,27,electric,vegan,1,300,100,2850
45,145,16,52,365,70,gas,mixed,8,610,255,6900
46,78,8,78,298,41,electric,vegetarian,4,455,168,4750
47,205,34,18,495,102,gas,mixed,11,820,390,10500
48,42,4,98,235,33,electric,vegetarian,2,375,138,3900
49,175,21,38,405,82,gas,mixed,9,690,305,8100
50,18,2,122,172,23,electric,vegan,0,285,78,2550
